Order	Name	Opening Time
85	Silver	3 hrs
86	Gold	8 hrs
87	Silver	3 hrs
88	Silver	3 hrs
89	Silver	3 hrs
90	Silver	3 hrs
91	Gold	8 hrs
92	Silver	3 hrs
93	Silver	3 hrs
94	Gold	8 hrs
95	Silver	3 hrs
96	Silver	3 hrs
97	Silver	3 hrs
98	Gold	8 hrs
99	Silver	3 hrs
100	Silver	3 hrs
101	Silver	3 hrs
102	Silver	3 hrs
103	Gold	8 hrs
104	Silver	3 hrs
105	Gold	8 hrs
106	Silver	3 hrs
107	Silver	3 hrs
108	Silver	3 hrs
109	Silver	3 hrs
110	Gold	8 hrs
111	Silver	3 hrs
112	Silver	3 hrs
113	Silver	3 hrs
114	Silver	3 hrs
115	Gold	8 hrs
116	Silver	3 hrs
117	Silver	3 hrs
118	Gold	8 hrs
119	Silver	3 hrs
120	Silver	3 hrs
121	Silver	3 hrs
122	Silver	3 hrs
123	Gold	8 hrs
124	Silver	3 hrs
125	Silver	3 hrs
126	Gold	8 hrs
127	Silver	3 hrs
128	Silver	3 hrs
129	Silver	3 hrs
130	Silver	3 hrs
131	Magic	12 hrs
132	Silver	3 hrs
133	Silver	3 hrs
134	Gold	8 hrs
135	Silver	3 hrs
136	Silver	3 hrs
137	Silver	3 hrs
138	Gold	8 hrs
139	Silver	3 hrs
140	Silver	3 hrs
141	Silver	3 hrs
142	Silver	3 hrs
143	Gold	8 hrs
144	Silver	3 hrs
145	Gold	8 hrs
146	Silver	3 hrs
147	Silver	3 hrs
148	Silver	3 hrs
149	Silver	3 hrs
150	Gold	8 hrs
151	Silver	3 hrs
152	Silver	3 hrs
153	Silver	3 hrs
154	Silver	3 hrs
155	Gold	8 hrs
156	Silver	3 hrs
157	Silver	3 hrs
158	Giant	12 hrs
159	Silver	3 hrs
160	Silver	3 hrs
161	Silver	3 hrs
162	Silver	3 hrs
163	Gold	8 hrs
164	Silver	3 hrs
165	Silver	3 hrs
166	Gold	8 hrs
167	Silver	3 hrs
168	Silver	3 hrs
169	Silver	3 hrs
170	Silver	3 hrs
171	Gold	8 hrs
172	Silver	3 hrs
173	Silver	3 hrs
174	Gold	8 hrs
175	Silver	3 hrs
176	Silver	3 hrs
177	Silver	3 hrs
178	Gold	8 hrs
179	Silver	3 hrs
180	Silver	3 hrs
181	Silver	3 hrs
182	Silver	3 hrs
183	Gold	8 hrs
184	Silver	3 hrs
185	Gold	8 hrs
186	Silver	3 hrs
187	Silver	3 hrs
188	Silver	3 hrs
189	Silver	3 hrs
190	Giant	12 hrs
191	Silver	3 hrs
192	Silver	3 hrs
193	Silver	3 hrs
194	Silver	3 hrs
195	Gold	8 hrs
196	Silver	3 hrs
197	Silver	3 hrs
198	Gold	8 hrs
199	Silver	3 hrs
200	Silver	3 hrs
201	Silver	3 hrs
202	Silver	3 hrs
203	Magic	12 hrs
204	Silver	3 hrs
205	Silver	3 hrs
206	Gold	8 hrs
207	Silver	3 hrs
208	Silver	3 hrs
209	Silver	3 hrs
210	Silver	3 hrs
211	Gold	8 hrs
212	Silver	3 hrs
213	Silver	3 hrs
214	Gold	8 hrs
215	Silver	3 hrs
216	Silver	3 hrs
217	Silver	3 hrs
218	Gold	8 hrs
219	Silver	3 hrs
220	Silver	3 hrs
221	Silver	3 hrs
222	Silver	3 hrs
223	Gold	8 hrs
224	Silver	3 hrs
225	Gold	8 hrs
226	Silver	3 hrs
227	Silver	3 hrs
228	Silver	3 hrs
229	Silver	3 hrs
230	Giant	12 hrs
231	Silver	3 hrs
232	Silver	3 hrs
233	Silver	3 hrs
234	Silver	3 hrs
235	Gold	8 hrs
236	Silver	3 hrs
237	Silver	3 hrs
238	Gold	8 hrs
239	Silver	3 hrs
